"filename", "language", "Lua", "Markdown", "JSON", "YAML", "XML", "pip requirements", "Shell Script", "Rust", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\workspaceDebugManifest\init.lua", "Lua", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 286
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\debugger\workspaceDebugManifest\ui.lua", "Lua", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 89
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\index.lua", "Lua", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\init.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\module\init.lua", "Lua", 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 123
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\objects\debug.lua", "Lua", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 32, 183
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\src\objects\init.lua", "Lua", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 69
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test.project.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test\client\launcher.client.lua", "Lua", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 77
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test\client\test.lua", "Lua", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\astraxv2\test\server\launcher.server.lua", "Lua", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\averyark_astraxv2@0.3.6\t.lua", "Lua", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\brittonfischer_profileservice@2.1.5\profileservice\default.project.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\alwin\Documents\RBX_PROJECTS\ABM\Packages\_Index\brittonfischer_profileservice@2.1.5\profileservice\src\init.lua", "Lua", 1889, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178, 347, 2414
